origSiteID;origBlockID;warming;grazing;Nlevel;origPlotID;destSiteID;destPlotID;destBlockID;turfID;dateRIC_washed;RIC_length_cm;dateRIC_dried;dateRIC_weighed;;;;
Lia;1;W;M;1;1;Joa;84;1;1 WN1M 84;2021.10.20.;10,4;;;;;;
Lia;1;A;M;1;2;Lia;2;1;2 AN1M 2;2021.10.21.;10,6;;;;;;
Lia;1;W;C;1;3;Joa;85;1;3 WN1C 85;2021.10.20.;10,5;;;;;;
Lia;1;A;C;1;4;Lia;4;1;4 AN1C 4;2021.10.21.;9,3;;;;;;
Lia;1;W;I;1;5;Joa;86;1;5 WN1I 86;2021.10.20.;9,9;;;;;;
Lia;1;A;I;1;6;Lia;6;1;6 AN1I 6;2021.10.21.;10,2;;;;;;
Lia;1;A;N;1;7;Lia;7;1;7 AN1N 7;2021.10.21.;10,3;;;;;;
Lia;1;W;N;1;8;Joa;87;1;8 WN1N 87;2021.10.20.;10,0;;;;;;
Lia;2;A;M;6;9;Lia;9;2;9 AN6M 9;2022.02.02.;8,6;;;;;;
Lia;2;W;M;6;10;Joa;89;2;10 WN6M 89;2022.02.02.;9,4;;;;;;
Lia;2;A;I;6;11;Lia;11;2;11 AN6I 11;2022.02.02.;9,3;;;;;;
Lia;2;A;C;6;12;Lia;12;2;12 AN6C 12;2022.02.01.;6,8;;;;;;
Lia;2;W;C;6;13;Joa;90;2;13 WN6C 90;2022.02.02.;9,8;;;;;;
Lia;2;W;I;6;14;Joa;92;2;14 WN6I 92;2022.02.02.;9,7;;;;;;
Lia;2;W;N;6;15;Joa;95;2;15 WN6N 95;2022.02.02.;8,3;;;;;;
Lia;2;A;N;6;16;Lia;16;2;16 AN6N 16;2022.02.01.;7,2;;;;;;
Lia;3;A;M;5;17;Lia;17;3;17 AN5M 17;2022.02.07.;10,2;;;;;;
Lia;3;A;C;5;18;Lia;18;3;18 AN5C 18;2022.02.07.;9,3;;;;;;
Lia;3;W;I;5;19;Joa;97;3;19 WN5I 97;2022.02.08.;6,9;;;;;;
Lia;3;A;I;5;20;Lia;20;3;20 AN5I 20;2022.02.07.;9,4;;;;;;
Lia;3;W;C;5;21;Joa;99;3;21 WN5C 99;2022.02.08.;8,1;;;;;;
Lia;3;W;M;5;22;Joa;102;3;22 WN5M 102;2022.02.08.;9,1;;;;;;
Lia;3;A;N;5;23;Lia;23;3;23 AN5N 23;2022.02.07.;9,0;;;;;;
Lia;3;W;N;5;24;Joa;103;3;24 WN5N 103;2022.02.08.;9,7;;;;;;
Lia;4;A;M;3;25;Lia;25;4;25 AN3M 25;2021.10.22.;8,4;;;;;;
Lia;4;W;I;3;26;Joa;105;4;26 WN3I 105;2021.11.23.;9,5;;;;;;
Lia;4;A;C;3;27;Lia;27;4;27 AN3C 27;2021.10.26.;9,6;;;;;;
Lia;4;A;I;3;28;Lia;28;4;28 AN3I 28;2021.10.26.;9,8;;;;;;
Lia;4;W;C;3;29;Joa;106;4;29 WN3C 106;2021.11.23.;9,9;;;;;;
Lia;4;W;M;3;30;Joa;107;4;30 WN3M 107;2021.11.23.;10,0;;;;;;
Lia;4;A;N;3;31;Lia;31;4;31 AN3N 31;2021.10.22.;10,1;;;;;;
Lia;4;W;N;3;32;Joa;112;4;32 WN3N 112;2021.11.23.;9,6;;;;;;
Lia;5;A;I;10;33;Lia;33;5;33 AN10I 33;2022.01.04.;9,9;;;;;;
Lia;5;W;I;10;34;Joa;114;5;34 WN10I 114;2022.01.05.;7,5;;;;;;
Lia;5;A;C;10;35;Lia;35;5;35 AN10C 35;2022.01.04.;8,5;;;;;;
Lia;5;W;M;10;36;Joa;115;5;36 WN10M 115;2022.01.05.;9,3;;;;;;
Lia;5;W;C;10;37;Joa;116;5;37 WN10C 116;2022.01.05.;8,7;;;;;;
Lia;5;A;M;10;38;Lia;38;5;38 AN10M 38;2022.01.04.;5,4;;;;;;
Lia;5;A;N;10;39;Lia;39;5;39 AN10N 39;2022.01.04.;10,5;;;;;;
Lia;5;W;N;10;40;Joa;119;5;40 WN10N 119;2022.01.05.;8,1;;;;;;
Lia;6;W;C;7;41;Joa;122;6;41 WN7C 122;2022.02.06.;8,0;;;;;;
Lia;6;W;I;7;42;Joa;123;6;42 WN7I 123;2022.02.06.;8,9;;;;;;
Lia;6;A;C;7;43;Lia;43;6;43 AN7C 43;2022.02.06.;9,0;;;;;;
Lia;6;W;M;7;44;Joa;125;6;44 WN7M 125;2022.02.06.;8,5;;;;;;
Lia;6;A;I;7;45;Lia;45;6;45 AN7I 45;2022.02.06.;9,8;;;;;;
Lia;6;A;M;7;46;Lia;46;6;46 AN7M 46;2022.02.06.;8,9;;;;;;
Lia;6;W;N;7;47;Joa;128;6;47 WN7N 128;2022.02.06.;8,9;;;;;;
Lia;6;A;N;7;48;Lia;48;6;48 AN7N 48;2022.02.06.;7,9;;;;;;
Lia;7;A;I;4;49;Lia;49;7;49 AN4I 49;2022.02.11.;8,2;;;;;;
Lia;7;A;M;4;50;Lia;50;7;50 AN4M 50;2022.02.11.;8,9;;;;;;
Lia;7;W;M;4;51;Joa;132;7;51 WN4M 132;2022.02.10.;8,9;;;;;;
Lia;7;A;C;4;52;Lia;52;7;52 AN4C 52;2022.02.11.;9,2;;;;;;
Lia;7;W;C;4;53;Joa;133;7;53 WN4C 133;2022.02.10.;7,0;;;;;;
Lia;7;W;I;4;54;Joa;134;7;54 WN4I 134;2022.02.10.;9,3;;;;;;
Lia;7;A;N;4;55;Lia;55;7;55 AN4N 55;2022.02.11.;6,1;;;;;;
Lia;7;W;N;4;56;Joa;135;7;56 WN4N 135;2022.02.10.;9,2;;;;;;
Lia;8;A;C;8;57;Lia;57;8;57 AN8C 57;2022.01.07.;5,6;;;;;;
Lia;8;A;I;8;58;Lia;58;8;58 AN8I 58;2022.01.07.;9,7;;;;;;
Lia;8;W;C;8;59;Joa;138;8;59 WN8C 138;2022.01.06.;10,0;;;;;;
Lia;8;A;M;8;60;Lia;60;8;60 AN8M 60;2022.01.07.;10,0;;;;;;
Lia;8;W;I;8;61;Joa;140;8;61 WN8I 140;2022.01.06.;8,8;;;;;;
Lia;8;W;M;8;62;Joa;141;8;62 WN8M 141;2022.01.06.;8,1;;;;;;
Lia;8;A;N;8;63;Lia;63;8;63 AN8N 63;2022.01.07.;9,7;;;;;;
Lia;8;W;N;8;64;Joa;143;8;64 WN8N 143;2022.01.06.;9,5;;;;;;
Lia;9;W;M;9;65;Joa;145;9;65 WN9M 145;2022.02.14.;9,4;;;;;;
Lia;9;W;I;9;66;Joa;147;9;66 WN9I 147;2022.02.14.;7,4;;;;;;
Lia;9;A;M;9;67;Lia;67;9;67 AN9M 67;2022.02.15.;4,9;;;;;;
Lia;9;A;I;9;68;Lia;68;9;68 AN9I 68;2022.02.15.;9,2;;;;;;
Lia;9;W;C;9;69;Joa;150;9;69 WN9C 150;2022.02.14.;8,6;;;;;;
Lia;9;A;C;9;70;Lia;70;9;70 AN9C 70;2022.02.15.;9,8;;;;;;
Lia;9;W;N;9;71;Joa;151;9;71 WN9N 151;2022.02.14.;9,3;;;;;;
Lia;9;A;N;9;72;Lia;72;9;72 AN9N 72;2022.02.15.;8,9;;;;;;
Lia;10;W;M;2;73;Joa;153;10;73 WN2M 153;2022.02.16.;9,1;;;;;;
Lia;10;W;C;2;74;Joa;155;10;74 WN2C 155;2022.02.16.;10,4;;;;;;
Lia;10;A;I;2;75;Lia;75;10;75 AN2I 75;2022.02.17.;4,6;;;;;;
Lia;10;A;M;2;76;Lia;76;10;76 AN2M 76;2022.02.17.;5,0;;;;;;
Lia;10;A;C;2;77;Lia;77;10;77 AN2C 77;2022.02.17.;4,1;;;;;;
Lia;10;W;I;2;78;Joa;158;10;78 WN2I 158;2022.02.16.;9,4;;;;;;
Lia;10;A;N;2;79;Lia;79;10;79 AN2N 79;2022.02.17.;7,9;;;;;;
Lia;10;W;N;2;80;Joa;159;10;80 WN2N 159;2022.02.16.;10,3;;;;;;
Joa;1;A;C;1;81;Joa;81;1;81 AN1C 81;2021.10.19.;4,8;;;;;;
Joa;1;A;M;1;82;Joa;82;1;82 AN1M 82;2021.10.19.;8,8;;;;;;
Joa;1;A;I;1;83;Joa;83;1;83 AN1I 83;2021.10.19.;7,4;;;;;;
Joa;1;W;M;1;84;Vik;161;1;84 WN1M 161;2021.10.14.;8,5;;;;;;
Joa;1;W;C;1;85;Vik;162;1;85 WN1C 162;2021.10.14.;10,0;;;;;;
Joa;1;W;I;1;86;Vik;163;1;86 WN1I 163;2021.10.13.;9,0;;;;;;
Joa;1;W;N;1;87;Vik;164;1;87 WN1N 164;2021.10.13.;8,5;;;;;;
Joa;1;A;N;1;88;Joa;88;1;88 AN1N 88;2021.10.20.;8,1;;;;;;
Joa;2;W;I;6;89;Vik;165;2;89 WN6I 165;2022.02.04.;7,8;;;;;;
Joa;2;W;C;6;90;Vik;166;2;90 WN6C 166;2022.02.04.;8,3;;;;;;
Joa;2;A;C;6;91;Joa;91;2;91 AN6C 91;2022.02.03.;5,1;;;;;;
Joa;2;W;M;6;92;Vik;167;2;92 WN6M 167;2022.02.04.;7,8;;;;;;
Joa;2;A;M;6;93;Joa;93;2;93 AN6M 93;2022.02.03.;5,4;;;;;;
Joa;2;A;I;6;94;Joa;94;2;94 AN6I 94;2022.02.03.;4,6;;;;;;
Joa;2;W;N;6;95;Vik;168;2;95 WN6N 168;2022.02.04.;8,7;;;;;;
Joa;2;A;N;6;96;Joa;96;2;96 AN6N 96;2022.02.03.;9,8;;;;;;
Joa;3;W;M;5;97;Vik;169;3;97 WN5M 169;2022.02.09.;7,4;;;;;;
Joa;3;A;C;5;98;Joa;98;3;98 AN5C 98;2022.02.08.;8,9;;;;;;
Joa;3;W;C;5;99;Vik;170;3;99 WN5C 170;2022.02.09.;8,1;;;;;;
Joa;3;A;M;5;100;Joa;100;3;100 AN5M 100;2022.02.08.;8,4;;;;;;
Joa;3;A;I;5;101;Joa;101;3;101 AN5I 101;2022.02.08.;7,8;;;;;;
Joa;3;W;I;5;102;Vik;171;3;102 WN5I 171;2022.02.09.;5,5;;;;;;
Joa;3;W;N;5;103;Vik;172;3;103 WN5N 172;2022.02.09.;9,0;;;;;;
Joa;3;A;N;5;104;Joa;104;3;104 AN5N 104;2022.02.08.;8,2;;;;;;
Joa;4;W;C;3;105;Vik;173;4;105 WN3C 173;2021.10.26.;7,5;;;;;;
Joa;4;W;I;3;106;Vik;174;4;106 WN3I 174;2021.11.25.;9,8;;;;;;
Joa;4;W;M;3;107;Vik;175;4;107 WN3M 175;2021.11.25.;8,0;;;;;;
Joa;4;A;M;3;108;Joa;108;4;108 AN3M 108;2022.02.09.;8,2;;;;;;
Joa;4;A;C;3;109;Joa;109;4;109 AN3C 109;2022.02.09.;10,0;;;;;;
Joa;4;A;I;3;110;Joa;110;4;110 AN3I 110;2022.02.09.;9,1;;;;;;
Joa;4;A;N;3;111;Joa;111;4;111 AN3N 111;2022.02.09.;7,7;;;;;;
Joa;4;W;N;3;112;Vik;176;4;112 WN3N 176;2021.10.26.;8,8;;;;;;
Joa;5;A;C;10;113;Joa;113;5;113 AN10C 113;2022.01.05.;10,0;;;;;;
Joa;5;W;M;10;114;Vik;177;5;114 WN10M 177;2021.11.18.;6,5;;;;;;
Joa;5;W;I;10;115;Vik;178;5;115 WN10I 178;2021.11.18.;7,3;;;;;;
Joa;5;W;C;10;116;Vik;179;5;116 WN10C 179;2021.11.18.;5,5;;;;;;
Joa;5;A;M;10;117;Joa;117;5;117 AN10M 117;2022.01.05.;9,6;;;;;;
Joa;5;A;I;10;118;Joa;118;5;118 AN10I 118;2022.01.05.;8,5;;;;;;
Joa;5;W;N;10;119;Vik;180;5;119 WN10N 180;2021.11.18.;7,3;;;;;;
Joa;5;A;N;10;120;Joa;120;5;120 AN10N 120;2022.01.05.;7,3;;;;;;
Joa;6;A;M;7;121;Joa;121;6;121 AN7M 121;2022.02.06.;6,9;;;;;;
Joa;6;W;I;7;122;Vik;181;6;122 WN7I 181;2022.02.04.;7,8;;;;;;
Joa;6;W;M;7;123;Vik;182;6;123 WN7M 182;2022.02.04.;6,7;;;;;;
Joa;6;A;I;7;124;Joa;124;6;124 AN7I 124;2022.02.06.;7,7;;;;;;
Joa;6;W;C;7;125;Vik;183;6;125 WN7C 183;2022.02.04.;5,7;;;;;;
Joa;6;A;C;7;126;Joa;126;6;126 AN7C 126;2022.02.06.;8,6;;;;;;
Joa;6;A;N;7;127;Joa;127;6;127 AN7N 127;2022.02.06.;9,1;;;;;;
Joa;6;W;N;7;128;Vik;184;6;128 WN7N 184;2022.02.04.;9,5;;;;;;
Joa;7;A;I;4;129;Joa;129;7;129 AN4I 129;2022.02.10.;9,1;;;;;;
Joa;7;A;M;4;130;Joa;130;7;130 AN4M 130;2022.02.10.;9,2;;;;;;
Joa;7;A;C;4;131;Joa;131;7;131 AN4C 131;2022.02.10.;8,7;;;;;;
Joa;7;W;M;4;132;Vik;185;7;132 WN4M 185;2022.02.11.;7,5;;;;;;
Joa;7;W;C;4;133;Vik;186;7;133 WN4C 186;2022.02.11.;7,1;;;;;;
Joa;7;W;I;4;134;Vik;187;7;134 WN4I 187;2022.02.11.;7,4;;;;;;
Joa;7;W;N;4;135;Vik;188;7;135 WN4N 188;2022.02.11.;8,7;;;;;;
Joa;7;A;N;4;136;Joa;136;7;136 AN4N 136;2022.02.10.;8,8;;;;;;
Joa;8;A;M;8;137;Joa;137;8;137 AN8M 137;2022.01.06.;8,0;;;;;;
Joa;8;W;I;8;138;Vik;189;8;138 WN8I 189;2022.01.07.;8,1;;;;;;
Joa;8;A;I;8;139;Joa;139;8;139 AN8I 139;2022.01.06.;9,0;;;;;;
Joa;8;W;C;8;140;Vik;190;8;140 WN8C 190;2022.02.01.;7,2;;;;;;
Joa;8;W;M;8;141;Vik;191;8;141 WN8M 191;2022.01.07.;7,5;;;;;;
Joa;8;A;C;8;142;Joa;142;8;142 AN8C 142;2022.01.06.;8,2;;;;;;
Joa;8;W;N;8;143;Vik;192;8;143 WN8N 192;2022.02.01.;8,0;;;;;;
Joa;8;A;N;8;144;Joa;144;8;144 AN8N 144;2022.01.06.;8,1;;;;;;
Joa;9;W;M;9;145;Vik;193;9;145 WN9M 193;2022.02.15.;7,2;;;;;;
Joa;9;A;I;9;146;Joa;146;9;146 AN9I 146;2022.02.14.;9,0;;;;;;
Joa;9;W;C;9;147;Vik;194;9;147 WN9C 194;2022.02.15.;6,9;;;;;;
Joa;9;A;M;9;148;Joa;148;9;148 AN9M 148;2022.02.14.;9,9;;;;;;
Joa;9;A;C;9;149;Joa;149;9;149 AN9C 149;2022.02.14.;8,1;;;;;;
Joa;9;W;I;9;150;Vik;195;9;150 WN9I 195;2022.02.15.;7,2;;;;;;
Joa;9;W;N;9;151;Vik;196;9;151 WN9N 196;2022.02.15.;9,5;;;;;;
Joa;9;A;N;9;152;Joa;152;9;152 AN9N 152;2022.02.14.;9,8;;;;;;
Joa;10;W;I;2;153;Vik;197;10;153 WN2I 197;2022.02.18.;7,4;;;;;;
Joa;10;A;M;2;154;Joa;154;10;154 AN2M 154;2022.02.16.;9,2;;;;;;
Joa;10;W;M;2;155;Vik;198;10;155 WN2M 198;2022.02.18.;6,2;;;;;;
Joa;10;A;C;2;156;Joa;156;10;156 AN2C 156;2022.02.16.;9,0;;;;;;
Joa;10;A;I;2;157;Joa;157;10;157 AN2I 157;2022.02.16.;10,0;;;;;;
Joa;10;W;C;2;158;Vik;199;10;158 WN2C 199;2021.10.14.;9,0;;;;;;
Joa;10;W;N;2;159;Vik;200;10;159 WN2N 200;2022.02.18.;10,4;;;;;;
Joa;10;A;N;2;160;Joa;160;10;160 AN2N 160;2022.02.16.;9,3;;;;;;